"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"191",2007-12-31,"Q1",2008-09-30,1,"Missile and Space Systems","Army","YOUNG",0.0379511978308026,0.139221308477368
"192",2007-12-31,"Q1",2008-09-30,1,"Missile and Space Systems","Navy","YOUNG",0.0598463457809111,0.0566477166297054
"193",2007-12-31,"Q1",2008-09-30,1,"Missile and Space Systems","Air Force","YOUNG",0.0302545547613883,0.0206667746424667
"194",2007-12-31,"Q1",2008-09-30,1,"Missile and Space Systems","DLA","YOUNG",0.00388595052060737,0.00167708388305753
"195",2007-12-31,"Q1",2008-09-30,1,"Missile and Space Systems","MDA","YOUNG",0.00668017136659436,NA
"196",2007-12-31,"Q1",2008-09-30,1,"Other Products","Army","YOUNG",0.658140984088937,NA
"197",2007-12-31,"Q1",2008-09-30,1,"Other Products","Navy","YOUNG",0.0590156732646421,0.171871247203753
"198",2007-12-31,"Q1",2008-09-30,1,"Other Products","Air Force","YOUNG",0.0566621446854664,NA
"199",2007-12-31,"Q1",2008-09-30,1,"Other Products","DLA","YOUNG",2.60039730819957,1.8477696346597
"200",2007-12-31,"Q1",2008-09-30,1,"Other Products","Additional
DoD
Components","YOUNG",0.00101909002169197,0.00155230898992447
"201",2007-12-31,"Q1",2008-09-30,1,"Other R&D and Knowledge Based","Army","YOUNG",0.270449696778742,0.926405629973503
"202",2007-12-31,"Q1",2008-09-30,1,"Other R&D and Knowledge Based","Navy","YOUNG",0.205680390878525,0.514408232851303
"203",2007-12-31,"Q1",2008-09-30,1,"Other R&D and Knowledge Based","Air Force","YOUNG",0.188173582754881,0.348440442124564
"204",2007-12-31,"Q1",2008-09-30,1,"Other R&D and Knowledge Based","DLA","YOUNG",0.0138963871366594,NA
"205",2007-12-31,"Q1",2008-09-30,1,"Other R&D and Knowledge Based","MDA","YOUNG",0.000401301518438178,0.00191955403977554
"206",2007-12-31,"Q1",2008-09-30,1,"Other R&D and Knowledge Based","Additional
DoD
Components","YOUNG",0.051941105032538,NA
"207",2007-12-31,"Q1",2008-09-30,1,"Other Services","Army","YOUNG",0.217637066453362,0.196325205179519
"208",2007-12-31,"Q1",2008-09-30,1,"Other Services","Navy","YOUNG",0.449547313600868,0.282036258782135
