"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"3623",2014-02-01,2014-03-31,"Q2",2014-09-18,2.33972602739726,"Facilities and Construction","MDA","Section 808
FY12 NDAA
Implem.",9e-06,5.02501911580515e-05
"3624",2013-09-01,2013-09-30,"Q4",2013-09-30,1.92054794520548,"Facilities and Construction","MDA","Section 808
FY12 NDAA
Implem.",1.55549509495278e-05,5.55401748078941e-05
"3625",2012-09-01,2012-09-30,"Q4",2012-09-30,0.920547945205479,"Facilities and Construction","MDA","Section 808
FY12 NDAA
Implem.",9.94973844094326e-05,4.13507784529868e-05
"3626",2014-08-01,2014-09-30,"Q4",2014-09-18,2.83561643835616,"Facilities and Construction","MDA","Section 808
FY12 NDAA
Implem.",9.8816e-05,7.12894451196535e-05
"3627",2013-02-01,2013-03-31,"Q2",2013-09-30,1.33972602739726,"Facilities and Construction","MDA","Section 808
FY12 NDAA
Implem.",6.14938559967503e-05,8.66024134687276e-05
"3628",2013-11-01,2013-12-31,"Q1",2014-09-18,2.08767123287671,"Facilities and Construction","MDA","Section 808
FY12 NDAA
Implem.",5.5125e-06,5.52741186655834e-05
"3629",2014-04-01,2014-06-30,"Q3",2014-09-18,2.5013698630137,"Facilities and Construction","MDA","Section 808
FY12 NDAA
Implem.",5.5228e-05,4.07447853322501e-05
"3630",2014-06-01,2014-06-30,"Q3",2014-09-18,2.66849315068493,"Facilities and Construction","MDA","Section 808
FY12 NDAA
Implem.",3.876e-06,2.15388333333333e-05
"3631",2014-07-01,2014-09-30,"Q4",2014-09-18,2.75068493150685,"Facilities and Construction","MDA","Section 808
FY12 NDAA
Implem.",0.000106176,5.50933333333333e-05
"3632",2011-09-01,2011-09-30,"Q4",2011-09-30,4.92054794520548,"Facilities and Construction","Military
Health","YOUNG",-6.29458665547629e-08,NA
"3633",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"Facilities and Construction","Military
Health","YOUNG",0.000366,NA
"3634",2007-09-01,2007-09-30,"Q4",2007-09-30,0.917808219178082,"Facilities and Construction","Military
Health","YOUNG",0.000690214423616567,0.000352050492583338
"3635",2008-02-01,2008-03-31,"Q2",2008-09-30,1.33698630136986,"Facilities and Construction","Military
Health","YOUNG",5.37852494577006e-06,0.000353864316187446
"3636",2008-03-01,2008-03-31,"Q2",2008-09-30,1.41643835616438,"Facilities and Construction","Military
Health","YOUNG",4.40761171366594e-05,0.000246556355232999
"3637",2008-04-01,2008-06-30,"Q3",2008-09-30,1.5013698630137,"Facilities and Construction","Military
Health","YOUNG",0.000107290531453362,5.22483911785972e-05
"3638",2007-08-01,2007-09-30,"Q4",2007-09-30,0.832876712328767,"Facilities and Construction","Military
Health","YOUNG",1.57660343472893e-05,5.5710894312437e-05
"3639",2008-05-01,2008-06-30,"Q3",2008-09-30,1.58356164383562,"Facilities and Construction","Military
Health","YOUNG",1.0989251626898e-05,4.46819391425165e-05
"3640",2008-01-01,2008-03-31,"Q2",2008-09-30,1.25205479452055,"Facilities and Construction","Military
Health","YOUNG",4.94577006507592e-06,1.05670186797544e-05
