"","SignedMonth","Vendor.Size.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"303",2011-07-01,"Large","Navy","CARTER",1.99940036215904,1.75168933630578
"304",2011-08-01,"Large","Navy","CARTER",1.30593895518254,1.7428115877885
"305",2011-09-01,"Large","Navy","CARTER",3.40231354521611,2.23588428751923
"306",2011-10-01,"Large","Navy","CARTER",0.714556434064463,1.80760297815437
"307",2011-11-01,"Large","Navy","CARTER",0.435369624065493,1.51741320111536
"308",2011-12-01,"Large","Navy","CARTER",0.740498131685717,0.630141396605224
"309",2012-01-01,"Large","Navy","CARTER",0.842596944629801,0.67282156679367
"310",2012-02-01,"Large","Navy","CARTER",0.957596206930285,0.846897094415268
"311",2012-03-01,"Large","Navy","CARTER",0.77025297493564,0.856815375498575
"312",2012-04-01,"Large","Navy","CARTER",0.483297843445577,0.737049008437167
"313",2012-05-01,"Large","Navy","CARTER",2.60529403742148,1.2862816186009
"314",2012-06-01,"Large","Navy","CARTER",0.344106262424055,1.14423271443037
"315",2012-07-01,"Large","Navy","CARTER",0.476491363803934,1.14196388788316
"316",2012-08-01,"Large","Navy","CARTER",0.449642287601689,0.423413304609893
"317",2012-09-01,"Large","Navy","CARTER",1.26519888424467,0.730444178550098
"318",2012-10-01,"Large","Navy","CARTER",0.860525748981517,0.858455640275959
"319",2012-11-01,"Large","Navy","CARTER",0.568656785039403,0.898127139421864
"320",2012-12-01,"Large","Navy","CARTER",0.412419567361227,0.613867367127382
"321",2013-01-01,"Large","Navy","CARTER",0.270364263890525,0.417146872097051
"322",2013-02-01,"Large","Navy","CARTER",0.273807454624556,0.318863761958769
"323",2013-03-01,"Large","Navy","CARTER",0.307494954447446,0.283888890987509
"324",2013-04-01,"Large","Navy","CARTER",0.143709932214278,0.24167078042876
"325",2013-05-01,"Large","Navy","CARTER",0.45771931241637,0.302974733026032
"326",2013-06-01,"Large","Navy","CARTER",0.257944261938154,0.286457835522934
"327",2013-07-01,"Large","Navy","CARTER",0.390148113424089,0.368603895926204
"328",2013-08-01,"Large","Navy","CARTER",0.283646431724789,0.310579602362344
"329",2013-09-01,"Large","Navy","CARTER",0.774613515833756,0.482802686994211
"330",2013-10-01,"Large","Navy","CARTER",0.3402741587784,0.466178035445649
"331",2013-11-01,"Large","Navy","CARTER",0.2131170459761,0.442668240196085
"332",2013-12-01,"Large","Navy","CARTER",0.2367343953589,0.2633752000378
"333",2014-01-01,"Large","Navy","CARTER",0.1852064544404,0.211685965258467
"334",2014-02-01,"Large","Navy","CARTER",0.2302378585648,0.217392902788033
"335",2014-03-01,"Large","Navy","CARTER",0.3031549467429,0.2395330865827
"336",2014-04-01,"Large","Navy","CARTER",0.1424437271597,0.2252788441558
"337",2014-05-01,"Large","Navy","CARTER",0.2552856949578,0.233628122953467
"338",2014-06-01,"Large","Navy","CARTER",0.2411028031561,0.2129440750912
"339",2014-07-01,"Large","Navy","CARTER",0.3089723869914,0.268453628368433
"340",2014-08-01,"Large","Navy","CARTER",0.5764286821875,0.375501290778333
"341",2014-09-01,"Large","Navy","CARTER",0.5522675564338,0.479222875204233
"342",2011-11-01,"Large","Navy","KENDALL",0.534143022469365,NA
"343",2011-12-01,"Large","Navy","KENDALL",0.584923062043044,NA
"344",2012-01-01,"Large","Navy","KENDALL",0.991180571825765,0.703415552112724
"345",2012-02-01,"Large","Navy","KENDALL",1.35346247614046,0.976522036669756
"346",2012-03-01,"Large","Navy","KENDALL",0.981673239491299,1.10877209581917
"347",2012-04-01,"Large","Navy","KENDALL",0.524748977530635,0.953294897720798
"348",2012-05-01,"Large","Navy","KENDALL",0.682927560282154,0.729783259101363
"349",2012-06-01,"Large","Navy","KENDALL",0.788837450581814,0.665504662798201
"350",2012-07-01,"Large","Navy","KENDALL",0.668014033281845,0.713259681381938
"351",2012-08-01,"Large","Navy","KENDALL",0.851587499680774,0.769479661181478
